Mass (g),Luminosity (erg/s),Pressure (dyn/cm^2),Radius (cm),Temperature (K),Energy Generation Rate (erg/g/s),Opacity (cm^2/g),Adiabatic Gradient,Radiative Gradient,Convective or Radiative
9.667256756756758e+32,4.813317808105223e+33,2.2516677632648624e+16,16195374687.115818,7478731.461781288,0.24890508972051947,0.5532985928725815,0.39958045928837566,0.07817524650359704,RAD
9.676216216216216e+32,4.813540221829119e+33,2.2449879945548068e+16,16207555806.964716,7474635.135267846,0.247600673993205,0.5535376230434089,0.39958013284893096,0.07807932906980805,RAD
9.685175675675676e+32,4.813761469793247e+33,2.238322115787794e+16,16219748151.272339,7470539.238047351,0.24630204496432373,0.5537767423414582,0.3995798054532811,0.07798344442966802,RAD
9.694135135135136e+32,4.8139815571867935e+33,2.231670107110603e+16,16231951756.633305,7466443.763400411,0.24500918043841854,0.554015947199469,0.39957947709888914,0.07788759207940328,RAD
9.703094594594594e+32,4.81420048917748e+33,2.2250319487060436e+16,16244166659.733213,7462348.70465456,0.24372205830687316,0.5542552340207473,0.3995791477831964,0.07779177151242675,RAD
9.712054054054054e+32,4.814418270911567e+33,2.2184076207929496e+16,16256392897.348652,7458254.055184262,0.2424406565474783,0.5544945991789944,0.399578817503622,0.07769598221934852,RAD
9.721013513513514e+32,4.814634907513853e+33,2.211797103626189e+16,16268630506.347183,7454159.808410906,0.24116495322399062,0.554734039018138,0.39957848625756337,0.07760022368798782,RAD
9.729972972972974e+32,4.8148504040876734e+33,2.2052003774966572e+16,16280879523.687353,7450065.957802812,0.23989492648569832,0.554973549852178,0.3995781540423954,0.07750449540338675,RAD
9.738932432432432e+32,4.8150647657149025e+33,2.1986174227312804e+16,16293139986.418686,7445972.496875225,0.2386305545669938,0.5552131279650058,0.3995778208554699,0.07740879684782044,RAD
9.747891891891892e+32,4.815277997455951e+33,2.1920482196930116e+16,16305411931.681694,7441879.419190319,0.23737181578694055,0.5554527696102569,0.399577486694117,0.07731312750081239,RAD
9.756851351351352e+32,4.815490104349769e+33,2.185492748780835e+16,16317695396.707865,7437786.718357196,0.2361186885488487,0.5556924710111278,0.39957715155564383,0.07721748683914477,RAD
9.76581081081081e+32,4.815701091413844e+33,2.1789509904297652e+16,16329990418.819668,7433694.388031887,0.23487115133985256,0.5559322283602105,0.39957681543733525,0.07712187433687148,RAD
9.77477027027027e+32,4.8159109636442e+33,2.1724229251108428e+16,16342297035.430561,7429602.421917346,0.23362918273048403,0.5561720378193312,0.39957647833645205,0.07702628946533209,RAD
9.78372972972973e+32,4.8161197260154e+33,2.1659085333311404e+16,16354615284.044973,7425510.813763461,0.23239276137425838,0.5564118955193729,0.39957614025023386,0.07693073169316338,RAD
9.79268918918919e+32,4.816327383480546e+33,2.15940779563376e+16,16366945202.25832,7421419.557367044,0.231161866007256,0.5566517975601061,0.39957580117589575,0.07683520048631282,RAD
9.801648648648648e+32,4.8165339409712747e+33,2.152920692597833e+16,16379286827.756996,7417328.6465718355,0.22993647544770657,0.5568917400100227,0.3995754611106299,0.0767396953080521,RAD
9.810608108108108e+32,4.816739403397763e+33,2.1464472048385172e+16,16391640198.318382,7413238.075268503,0.22871656859558157,0.5571317189061522,0.39957512005160556,0.07664421561898872,RAD
9.819567567567568e+32,4.8169437756487253e+33,2.139987313007003e+16,16404005351.810835,7409147.8373946445,0.22750212443217993,0.5573717302538982,0.3995747779959684,0.07654876087708073,RAD
9.828527027027028e+32,4.8171470625914125e+33,2.1335409977905104e+16,16416382326.193695,7405057.926934783,0.22629312201972412,0.5576117700268631,0.39957443494084005,0.07645333053764962,RAD
9.837486486486487e+32,4.8173492690716156e+33,2.1271082399122876e+16,16428771159.517282,7400968.337920371,0.2250895405009537,0.5578518341666667,0.3995740908833193,0.07635792405339309,RAD
9.846445945945946e+32,4.8175503999136615e+33,2.12068902013161e+16,16441171889.922901,7396879.064429788,0.22389135909872523,0.558091918582775,0.3995737458204806,0.07626254087439893,RAD
9.855405405405406e+32,4.8177504599204154e+33,2.1142833192437864e+16,16453584555.642836,7392790.100588339,0.2226985571156115,0.5583320191523219,0.39957339974937456,0.07616718044815876,RAD
9.864364864864865e+32,4.81794945387328e+33,2.1078911180801536e+16,16466009195.000349,7388701.440568264,0.22151111393350256,0.5585721317199374,0.39957305266702786,0.07607184221958219,RAD
9.873324324324325e+32,4.818147386532197e+33,2.1015123975080756e+16,16478445846.409689,7384613.07858872,0.22032900901321323,0.5588122520975566,0.39957270457044314,0.07597652563100904,RAD
9.882283783783784e+32,4.818344262635645e+33,2.095147138430948e+16,16490894548.376085,7380525.008915802,0.21915222189408592,0.5590523760642507,0.39957235545659825,0.07588123012222472,RAD
9.891243243243244e+32,4.818540086900641e+33,2.0887953217881956e+16,16503355339.495743,7376437.225862527,0.21798073219360686,0.5592924993660439,0.3995720053224474,0.07578595513047379,RAD
